EMPLOYEE_ID;RATE;OVERTIME_RATE
69819545;5400;44
45151585;1830;34
42600391;5560;13
83675977;5030;28
90881621;3180;37
79227950;2530;20
96151283;2870;49
17043516;4420;11
88265793;4160;36
22134579;3390;38
17086590;4400;28
58656029;5430;27
40693579;2860;48
99819143;4190;30
44945125;3340;43
77676366;4550;43
68877207;4150;30
60654463;5320;49
19350600;2490;20
48552388;2220;11
78589054;5160;22
63280451;4240;11
86869117;1760;48
62357122;1370;29
24370430;5380;44
38025540;1960;35
60727213;2780;42
49612763;3180;31
70063631;5490;45
88850783;5650;39
64145860;3240;45
29455228;3940;13
88192281;1080;49
64225132;2240;17
12798508;2240;45
25837554;2360;32
21233182;4210;28
95502148;4120;37
75648554;3250;40
24473147;3340;25
82435187;1320;50
12784362;4750;20
93564379;4090;50
13317649;1890;21
42005390;2460;33
27318937;4940;21
39499768;4620;21
28689451;1360;29
13719097;4920;46
63466690;5910;12
23168903;3140;15
86752079;4270;41
24747547;1620;21
13423666;1820;24
37497565;5210;44
93109789;3910;32
32262858;2520;26
30175829;1270;13
39483048;3700;25
34762094;3530;21
78127014;4880;35
64210356;2280;44
58344682;2260;40
15263670;3650;19
54553744;1200;42
64747719;4840;30
65181446;4450;23
14605005;5410;15
31679018;4480;24
77972740;1540;23
31797438;5750;14
55701766;4830;49
74689307;3220;32
74503463;4180;46
89708456;2900;29
49061418;1000;18
79374406;3460;11
80261049;2110;21
70880034;4080;47
67481513;4770;41
11245010;5220;49
15136458;2320;16
72430064;3650;28
90665375;3700;39
32610461;3790;46
18926026;5670;42
54594076;1800;44
84528005;2610;25
70287427;5300;37
13751015;2310;14
66478152;5660;36
70184817;2270;50
19366554;5240;17
63756461;5080;29
35591296;5460;11
92179318;2370;31
91999590;1030;45
25816160;1680;23
88995448;4490;18
38875205;5250;33
79526323;1740;43
18769801;3490;15
71123410;2170;42
41864463;5320;30
44943031;5400;39
50595211;3070;14
78909702;5560;45
77183844;4840;15
87566639;1940;26
34379994;5520;17
79710643;1730;48
13919698;2420;37
63380933;5060;44
71204714;4310;44
73997544;4850;28
62868564;1060;18
71110129;5090;19
85618195;1860;27
30728235;1770;20
36577496;3890;37
69854939;3120;21
46091905;5410;48
54058655;2670;26
94781980;3760;13
27398091;1570;32
71265623;3370;24
24480092;1550;38
60195987;5430;40
12006145;2310;29
